symbol,name,fullname,-,-
000505,京粮控股,海南京粮控股股份有限公司,B,*
000506,中润资源,中润资源投资股份有限公司,C,*
000507,珠海港,珠海港股份有限公司,A,*
000509,*ST华塑,华塑控股股份有限公司,C,*
000510,新金路,四川新金路集团股份有限公司,C,*
000513,丽珠集团,丽珠医药集团股份有限公司,A,*
000514,渝开发,重庆渝开发股份有限公司,B,*
000516,国际医学,西安国际医学投资股份有限公司,A,*
000517,荣安地产,荣安地产股份有限公司,B,*
000518,四环生物,江苏四环生物股份有限公司,D,*
000519,中兵红箭,中兵红箭股份有限公司,B,*
000520,长航凤凰,长航凤凰股份有限公司,B,*
000521,长虹美菱,长虹美菱股份有限公司,A,*
000523,*ST浪奇,广州市浪奇实业股份有限公司,B,*
000524,岭南控股,广州岭南集团控股股份有限公司,A,*
000525,ST红太阳,南京红太阳股份有限公司,D,*
000526,学大教育,学大(厦门)教育科技集团股份有限公司,B,*
000528,柳工,广西柳工机械股份有限公司,A,*
000529,广弘控股,广东广弘控股股份有限公司,B,*
000530,冰山冷热,冰山冷热科技股份有限公司,B,-
000531,穗恒运A,广州恒运企业集团股份有限公司,A,*
000532,华金资本,珠海华金资本股份有限公司,B,*
000533,顺钠股份,广东顺钠电气股份有限公司,C,*
000534,万泽股份,万泽实业股份有限公司,B,*
000536,华映科技,华映科技(集团)股份有限公司,C,*
000537,广宇发展,天津广宇发展股份有限公司,B,*
000538,云南白药,云南白药集团股份有限公司,A,*
000539,粤电力A,广东电力发展股份有限公司,A,-
000540,中天金融,中天金融集团股份有限公司,B,*
000541,佛山照明,佛山电器照明股份有限公司,C,*
000543,皖能电力,安徽省皖能股份有限公司,B,*
000544,中原环保,中原环保股份有限公司,A,*
000545,金浦钛业,金浦钛业股份有限公司,B,*
000546,金圆股份,金圆环保股份有限公司,B,*
000547,航天发展,航天工业发展股份有限公司,B,*
000548,湖南投资,湖南投资集团股份有限公司,B,*
000550,江铃汽车,江铃汽车股份有限公司,B,*
000551,创元科技,创元科技股份有限公司,B,-
000552,靖远煤电,甘肃靖远煤电股份有限公司,B,*
000553,安道麦A,安道麦股份有限公司,A,*
000554,泰山石油,中国石化山东泰山石油股份有限公司,B,-
